,查询的域名,查询结果
0,wb.baidu.com. IN A,wb.baidu.com. 10 IN A 198.105.244.11---wb.baidu.com. 10 IN A 104.239.213.7
1,wd.baidu.com. IN A,wd.baidu.com. 6189 IN A 10.57.13.230
2,wj.baidu.com. IN A,wj.baidu.com. 6191 IN CNAME ue.n.shifen.com.---ue.n.shifen.com. 299 IN A 153.37.235.23
3,wk.baidu.com. IN A,wk.baidu.com. 619 IN CNAME wapwenku.n.shifen.com.---wapwenku.n.shifen.com. 148 IN A 180.101.212.35
4,wm.baidu.com. IN A,wm.baidu.com. 6191 IN CNAME wangmeng.e.shifen.com.---wangmeng.e.shifen.com. 19 IN A 112.80.255.117---wangmeng.e.shifen.com. 19 IN A 112.80.255.110
5,wo.baidu.com. IN A,wo.baidu.com. 6192 IN CNAME miniwww.n.shifen.com.---miniwww.n.shifen.com. 300 IN A 111.206.223.136
6,wp.baidu.com. IN A,wp.baidu.com. 6194 IN A 10.26.3.173
7,wq.baidu.com. IN A,wq.baidu.com. 6193 IN A 10.209.108.14
8,ws.baidu.com. IN A,ws.baidu.com. 6194 IN A 10.94.35.35
9,wt.baidu.com. IN A,wt.baidu.com. 6196 IN A 10.94.40.19
10,wu.baidu.com. IN A,wu.baidu.com. 9 IN A 104.239.213.7---wu.baidu.com. 9 IN A 198.105.244.11
